pvalue	lable	noise	model
0	0	0	Branching
0	0	0	Branching
0	0	0	Branching
0	0	0	Branching
0	0	0	Branching
0	0	0	Branching
0	1	0	Branching
0	0	0	Branching
2.13787033187529e-06	0	0	Linear
0	0	0	Linear
6.34406601374149e-06	0	0	Linear
0	0	0	Linear
0	0	0	Linear
4.01974562447283e-06	0	0	Linear
0	0	0	Linear
8.27949118263893e-05	0	0	Linear
0	0	0	Linear
0	0	0	Linear
0	0	0	Linear
9.53023267524777e-06	0	0	Linear
0	0	0	Linear
6.3813442882088e-06	0	0	Linear
0	0	0	Linear
0	0	0	Linear
0	0	0	Linear
6.3813442882088e-06	0	0	Linear
2.20217199731199e-06	1	0	Linear
0	1	0	Linear
1.03104215609662e-07	0	0	Linear
2.29968258802504e-06	1	0	Linear
2.38822084758228e-05	1	0	Linear
6.60359120718823e-07	1	0	Linear
0	1	0	Linear
0	0	0	Linear
3.79247880655242e-06	0	0	Linear
0	0	0	Linear
0	0	0	Linear
0	0	0	Linear
7.94103588153128e-06	1	0	Linear
0	0	0	Linear
0	1	0	Linear
0	0	0	Linear
6.40749337288415e-05	0	0	Linear
0	0	0	Linear
0	0	0	Linear
0	0	0	Linear
1.52421251187196e-06	0	0	Linear
0	0	0	Linear
1.66912954389087e-05	0	0	Linear
0	0	0	Linear
0	0	0	Linear
2.62173966331103e-05	1	0	Linear
0.000464160682133063	0	0	Linear
0	0	0	Linear
2.45112437210482e-05	1	0	Linear
0.000397558396449837	0	0	Linear
0	0	0	Linear
5.21599948100082e-06	0	0	Linear
0	0	0	Linear
8.63026902164776e-08	0	0	Linear
0	1	0	Linear
8.60270808145103e-07	0	0	Linear
0	1	0	Linear
0	0	0	Linear
0	0	0	Linear
0.000177322433059457	0	0	Linear
5.97151831249754e-06	1	0	Linear
0	0	0	Linear
1.49775574054267e-06	0	0	Linear
0	1	0	Linear
0	0	0	Linear
0	0	0	Linear
0	0	0	Linear
0	0	0	Linear
0	1	0	Linear
2.9103788548035e-06	0	0	Linear
0	1	0	Linear
3.15474245216052e-06	0	0	Linear
8.18296646554195e-07	1	0	Linear
0	0	0	Linear
0.000355318939342819	0	0	Linear
8.18296646554195e-07	0	0	Linear
0	0	0	Linear
0	1	0	Linear
8.94139406959482e-09	1	0	Linear
3.79247880655242e-06	0	0	Linear
0	1	0	Linear
2.52763004437995e-06	0	0	Linear
0	0	0	Linear
0	0	0	Linear
7.65372997069136e-06	0	0	Linear
0	1	0	Linear
2.85213284073604e-05	1	0	Linear
6.45805822918621e-06	1	0	Linear
0	0	0	Linear
0	0	0	Linear
4.21007313622379e-06	0	0	Linear
2.73137244133359e-06	0	0	Linear
0	0	0	Linear
0	0	0	Linear
0.00049610656011978	0	0	Linear
8.33959991275446e-06	1	0	Linear
5.05395047700752e-07	1	0	Linear
4.28438966582068e-06	0	0	Linear
0	0	0	Linear
0	0	0	Linear
3.97732100121395e-06	0	0	Linear
1.3751960499242e-06	1	0	Linear
0	0	0	Punctuated
0.00820434621917698	0	0	Punctuated
0.0243636311823049	0	0	Punctuated
0	0	0	Punctuated
0.000136756150221684	1	0	Punctuated
0	0	0	Punctuated
0.113505230108342	0	0	Punctuated
0.000794296497262481	0	0	Punctuated
0	0	0	Punctuated
0	0	0	Punctuated
0.00488406478863312	1	0	Punctuated
0	0	0	Punctuated
6.02671055471848e-05	0	0	Punctuated
0	0	0	Punctuated
0.00129976478294813	0	0	Punctuated
0	0	0	Punctuated
0	0	0	Punctuated
0.0215216287629474	1	0	Punctuated
0	0	0	Punctuated
0.214634264909298	0	0	Punctuated
0	0	0	Punctuated
0	0	0	Punctuated
0	0	0	Punctuated
0	0	0	Punctuated
0	0	0	Punctuated
0	0	0	Punctuated
0	0	0	Punctuated
0	0	0	Punctuated
0	0	0	Punctuated
0	0	0	Punctuated
0.0191379879899443	1	0	Punctuated
0	0	0	Punctuated
0	0	0	Punctuated
0	0	0	Punctuated
0	0	0	Punctuated
0	0	0	Punctuated
0	0	0	Punctuated
0	0	0	Punctuated
0	0	0	Punctuated
0	0	0	Punctuated
0	0	0	Punctuated
0	0	0	Punctuated
0	0	0	Punctuated
0	0	0	Punctuated
0	0	0	Punctuated
0.000718723612005423	1	0	Punctuated
0	0	0	Punctuated
0	0	0	Punctuated
0.0018651524260771	0	0	Punctuated
1.73501399752807e-05	0	0	Punctuated
0	0	0	Punctuated
1.95939950144997e-05	0	0	Punctuated
0	0	0	Punctuated
0.000147987481804113	0	0	Punctuated
0	0	0	Punctuated
0	0	0	Punctuated
0.000278547478876456	0	0	Punctuated
0	0	0	Punctuated
0	0	0	Punctuated
0	0	0	Punctuated
0.00483846903853014	0	0	Punctuated
0	0	0	Punctuated
0.000611993517319886	0	0	Punctuated
8.86978307046427e-06	0	0	Punctuated
3.54626260468116e-07	0	0	Punctuated
0	0	0	Punctuated
0.00119716271750225	1	0	Punctuated
0	0	0	Punctuated
0	0	0	Punctuated
0	0	0	Punctuated
3.38696438637598e-05	0	0	Punctuated
1.85939619896658e-05	0	0	Punctuated
0	0	0	Punctuated
0	0	0	Punctuated
0.397783822244977	1	0	Punctuated
0	0	0	Punctuated
0	0	0	Punctuated
0.000645299037829949	0	0	Punctuated
0.000421038134682639	0	0	Punctuated
0	0	0	Punctuated
0	0	0	Punctuated
0	0	0	Punctuated
0.00156492479774273	0	0	Punctuated
0.00208216303064968	1	0	Punctuated
0	0	0	Punctuated
0	0	0	Punctuated
0	0	0	Punctuated
0.0296543120792154	0	0	Punctuated
0	0	0	Punctuated
0	0	0	Punctuated
0	0	0	Punctuated
0	0	0	Punctuated
0	0	0	Punctuated
0	0	0	Punctuated
0	0	0	Punctuated
0	0	0	Punctuated
0	0	0	Punctuated
0.00156042519079846	0	0	Punctuated
0	0	0	Punctuated
8.30754422909141e-06	1	0	Punctuated
