ID	modality.P	branch	linear	punctuated	Predict	CNVscore
t1	0	0.33448383501093	7.89687024692898e-06	0.665508268118823	Punctuated	0.549424834409323
t2	0	4.52351051161763e-06	3.7344276930547e-16	0.999995476489488	Punctuated	0.231432238424776
t3	0	0.00126682060147051	2.16297898215017e-11	0.9987331793769	Punctuated	0.181029291828319
t4	0	0.869262302879608	0.00179909399932088	0.128938603121072	Branching	0.445474392296728
t5	0	1.17995245524163e-08	7.44288164859942e-21	0.999999988200476	Punctuated	0.0968965702404986
t6	0	0.50656844278318	3.54687981442822e-05	0.493396088418676	Branching	0.601830580475672
t7	0	0.294247100602618	5.29150942459314e-06	0.705747607887957	Punctuated	0.443464901681306
t8	0	1.22530299123577e-07	4.90798827380589e-19	0.999999877469701	Punctuated	0.130603447394414
t9	0	0.260070256536737	3.66143141321506e-06	0.73992608203185	Punctuated	0.497749545026361
t10	0	0.0045579017429587	3.04781194124108e-10	0.99544209795226	Punctuated	0.294937317959617
t11	0	1.77300895419411e-06	6.52044361606237e-17	0.999998226991046	Punctuated	0.298536933009139
t12	0	7.69540031087669e-12	2.27235096571039e-26	0.999999999992305	Punctuated	0.0793577597048713
KTN102	0	0.0415862797522546	3.73225510442474e-08	0.958413682925194	Punctuated	0.669181336251964
KTN126	0	0.177480131230905	1.2654624555206e-06	0.822518603306639	Punctuated	0.646866038508808
KTN129	0	0.892987409470791	0.00312359823569659	0.103888992293512	Branching	0.615009217533798
KTN132	0	0.304990678787654	5.90668798360419e-06	0.695003414524362	Punctuated	0.553436230167078
KTN152	0	0.0767838289438803	1.55503335681737e-07	0.923216015552784	Punctuated	0.491832102483475
KTN206	0	0.00626509818690435	5.95692280421573e-10	0.993734901217403	Punctuated	0.471641652079997
KTN302	0	0.771588822389123	0.000411679389616164	0.227999498221261	Branching	0.752294596932041
KTN615	0	0.0885443963602553	2.18885408995085e-07	0.911455384754336	Punctuated	0.681556739041376
