ID	cancer	modality.P	branch	linear	punctuated	Predict
CID3586	Breastcancer	0	3.41260676445636e-09	8.3290696753583e-22	0.999999996587393	Punctuated
CID3921	Breastcancer	0	0.0359839912404748	2.68745623736554e-08	0.964015981884963	Punctuated
CID45171	Breastcancer	0	0.00242290588810843	8.18057773693778e-11	0.997577094030086	Punctuated
CID44041	Breastcancer	0	2.80859223878399e-08	3.48228010504154e-20	0.999999971914078	Punctuated
CID4465	Breastcancer	0	0.744532217644709	0.000302922176677235	0.255164860178613	Branching
CID4495	Breastcancer	0.0397130341421581	0.148713735088354	7.96269203062421e-07	0.851285468642443	Punctuated
CID44971	Breastcancer	9.55598195393481e-05	0.00405461694563524	2.38536628045379e-10	0.995945382815828	Punctuated
CID44991	Breastcancer	0.693135435174653	0.901982971170762	0.00404563135434228	0.0939713974748955	Neutral
CID4515	Breastcancer	0.781478378398456	0.832545835800539	0.000936864864988078	0.166517299334473	Neutral
CID4461	Breastcancer	0	0.173731134715846	1.19568391378658e-06	0.826267669600241	Punctuated
CID4463	Breastcancer	1.32344335516121e-05	0.0113027331078329	2.09821030791719e-09	0.988697264793957	Punctuated
CID4471	Breastcancer	0.000483728169179964	1.67117260303724e-07	8.60614948559144e-19	0.99999983288274	Punctuated
CID4530N	Breastcancer	0.00306729062470301	0.393863131668091	1.36247899176978e-05	0.606123243541991	Punctuated
CID4535	Breastcancer	0.10449671303292	0.240099434987301	2.90683120342332e-06	0.759897658181495	Neutral
CID3941	Breastcancer	0	0.00605828130593912	5.54875134142045e-10	0.993941718139186	Punctuated
CID3948	Breastcancer	0	0.822615337924685	0.000805594596342282	0.176579067478973	Branching
CID4067	Breastcancer	0.00351960850965838	0.214540180285735	2.11783618502648e-06	0.78545770187808	Punctuated
CID4290A	Breastcancer	0.028972538389392	0.282439905977497	4.67508695155908e-06	0.717555418935551	Punctuated
P1	Breastcancer	0	0.000142408163638541	2.75167685887828e-13	0.999857591836086	Punctuated
P2	Breastcancer	0	0.00341455133682689	1.66660341185696e-10	0.996585448496513	Punctuated
