model	cancer	HALLMARK_ADIPOGENESIS	HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANGIOGENESIS	HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_SURFACE	HALLMARK_APOPTOSIS	HALLMARK_BILE_ACID_METABOLISM	HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_COAGULATION	HALLMARK_COMPLEMENT	HALLMARK_DNA_REPAIR	HALLMARK_E2F_TARGETS	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_G2M_CHECKPOINT	HALLMARK_GLYCOLYSIS	HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEME_METABOLISM	HALLMARK_HYPOXIA	HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_UP	HALLMARK_MITOTIC_SPINDLE	HALLMARK_MTORC1_SIGNALING	HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V2	HALLMARK_MYOGENESIS	HALLMARK_NOTCH_SIGNALING	HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_P53_PATHWAY	HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PEROXISOME	HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PROTEIN_SECRETION	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_SPERMATOGENESIS	HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_UP	HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_XENOBIOTIC_METABOLISM
CID4471	Punctuated	Breast cancer	1.57279126123008	-1.25924403270153	1.44907221996081	1.31281964654616	1.87330453427351	0.978088788834972	0.789759016673115	0.571920615143986	-0.293424735337396	1.38315137949132	-0.405640681575243	-1.5235078157741	-1.86504062472133	1.674527607951	1.77294602740528	0.987567184111284	-0.0701100973760323	-1.68893183331609	-0.528750259910836	1.69669480726733	-0.297402355952738	1.30524139385996	0.0208073168475927	-0.440950740174873	-0.120484325145703	-0.219149341125059	-0.285109585946552	1.65846498680272	0.354739728461081	-0.650810869314866	-1.81900910549598	-1.47223416947461	-0.936044752751709	2.32875255232192	0.689790481652823	-1.03427329395886	0.704312700657259	-0.0690654688067988	-0.792477717426261	-1.54153519095725	0.140406904869877	-0.607088487964332	-0.347326634335444	1.8423600321329	0.515710100387536	-0.515023494073797	2.04014954923585	0.694816460699991	1.21382034708375	0.380482893409047
CID4495	Punctuated	Breast cancer	-0.648534480851565	1.48869925276548	-2.12582860953632	-0.358378628089716	-0.987374957762004	0.0365908518960687	0.985594149532907	-1.12435022400434	-1.33459303340457	-0.204722518299348	0.707658190537974	0.374801924013629	0.699348762915639	0.487906335180336	-1.72910634423781	-1.93211500164969	-1.18112802687257	0.416713470984463	-1.48636611872821	-0.353689160995813	-0.805105787115599	-0.839957105349544	0.790420121244279	1.3286663110845	1.08968963904119	1.95853839501984	2.09043631849726	0.191722108014958	-0.201386622713874	0.330702417003018	-0.116160683661728	-0.330073729988856	0.0971623447518538	0.109371163498181	-1.52313405276071	-0.888283818686147	-1.23218202030757	-0.86998794399251	-1.05882091772318	-0.691544523117221	-2.30556684754777	0.33981209831735	0.990543561574481	-1.12680592424487	0.68827774436872	0.236967906653234	-0.321919761153869	0.0237618669496418	-0.260358563362695	-1.06118716755704
CID44971	Punctuated	Breast cancer	0.180964725178943	0.853505624296288	-1.13350470163926	-0.174050321864251	-0.210589917420379	0.971726111545568	1.33250978975948	0.328322825611802	-0.457858842126616	0.238860317322131	0.280975807769771	0.528841506353838	0.354795705841437	0.678797117384415	0.386901209200202	0.500188397719501	-0.348911604726022	0.137804771460352	-0.76075163818024	-0.423499027359306	-1.0177447039596	0.0474390038313375	0.720120699315491	0.46805873607887	0.463411587476697	0.452829147215995	0.618318228008057	1.99129250931657	0.0863166753788785	0.14085662287642	-0.172902357757789	-0.202026109313778	0.438861103977385	0.562230810217823	-0.983422060616241	-0.565800677797607	0.0218696453402878	-0.398151383888236	-0.325807201709046	-0.18184918164427	-0.934760545362472	-0.080051570214117	0.606547046176044	-0.668397889563474	0.400593649994466	-0.114013948527495	0.196667572491662	0.182632844101205	0.184724385848598	-0.211233918687794
CID44991	Neutral	Breast cancer	-0.223085978021782	-1.11677030079958	-0.682785462503734	-1.06739927832118	-1.09039862377648	-0.0297967976220592	-0.856677351330491	0.338184827263428	1.56818823116498	-0.947055075617244	-1.89877344733418	0.940047841810138	1.05693857875475	0.0713946765626247	0.36189326285235	0.370873537068272	-0.764994819794782	0.813257632948985	0.441778262221567	-1.20801971563396	-1.7499707986757	-0.639680756474753	-1.87839476870268	-1.10206576417118	-1.17766962127211	-1.38454756547129	-1.120691078477	0.749855282691982	-1.88290066181853	0.678132481710789	0.943310820308776	-0.445614936465497	0.466673672033871	0.0162707881995527	-2.09493653008261	-0.895329634711497	-2.01077654237049	-0.833159109584929	0.580467100288999	0.177229354625084	-1.23920316459525	-0.926036557149305	2.37558063009122	-1.11825236448865	-0.685608561089739	1.07521716137894	-0.578347245606411	-1.20494999334407	-2.78046770477272	-0.868859564056325
CID4515	Neutral	Breast cancer	0.15117827488488	-0.700539923859665	0.293710977472754	0.605067107814245	-0.521962165748123	1.1564065344795	0.0752225775640002	-0.932994638651408	0.170406328444968	0.337888730576486	-0.34567109480916	0.349146591155386	1.25600440187057	1.03391632993538	0.539410167466724	0.723771827500677	-0.996994424210544	0.947467047019264	0.953063926831947	-0.143658238569382	-0.744516771382017	0.6168867520433	-0.907023892248757	-0.152150667161312	-0.0438566165591725	0.190270750576468	0.30859177353567	1.06419650530774	0.149089518279059	0.622958465023072	0.791109129267015	0.366739612892291	1.20710075995333	0.736361813602397	0.195497722251958	-0.54805699647354	-0.246171151478507	-0.565238732956958	-1.19437282672444	-1.07305585866772	0.339150594158402	-0.308499656943811	0.839770108366445	0.289216691359751	0.545395111448768	0.578144951439236	0.447289422482847	-0.253719697019452	-0.648261856136451	-0.706642268079173
CID45171	Punctuated	Breast cancer	0.188625340299625	-0.146049115048254	-0.848123900359882	-1.84598837323519	-2.15522405490585	0.692569868288173	-0.0494933108753567	-0.481052546825868	0.0390477913086354	-1.64843442159083	-1.09635228018612	0.722523718440581	0.618739202273084	-0.763658015450722	-0.606614684307108	-1.02738492758037	-0.12362674572756	0.192580062660448	-0.711023210404538	-1.77423718167032	-0.907229551725891	-1.30226094928537	-1.01182767224031	-1.22961249881316	-0.790550606656767	-0.876140770173289	-0.725276706865127	1.3336535557005	-1.64421709746524	-0.333295838791646	0.857089637659131	0.14322032537163	0.787743837253664	-0.527007816937029	-2.21849471824732	-0.273814597778331	-0.772353023919912	-1.1366225021956	0.11236520203848	1.71172152167114	-0.39934563597654	0.451319580939907	1.83642024812792	-1.17122346715748	-0.529979889559876	0.85232371677555	-1.33412757637962	-0.522269752452221	-1.29996150306461	-1.32651770695147
CID4530N	Punctuated	Breast cancer	1.34159986805014	-1.7669747655449	1.79167048825162	0.819402108168913	0.493823534815973	0.851422301299944	0.351876044207508	0.560605046683945	0.280916591809767	0.877693854865211	-0.973037572650577	-1.40435457498727	-1.89487507512059	1.14695242735559	2.12372486746965	1.2827128855195	0.339949832223979	-2.04436513833174	-0.531638994661241	1.01000205133609	-0.265340923173071	0.650460117597711	-0.836603384396212	-0.971629590891361	-0.737185439775743	0.158945130100496	-0.439964584200942	1.21917303682616	-0.157784015338796	-1.91599365479788	-1.52033136777941	-1.17451743730264	-0.888945688975957	1.40252719148233	0.952620699311656	-0.678396338353665	-0.265862640469551	-0.184419204002495	-0.365166973883933	-1.1292059602594	0.569170003271138	-1.27597504177767	0.452389609807067	0.607403268405578	0.126504875347438	-0.978970730274116	1.17987220634126	0.225276248218255	1.59447877815408	-0.0980100028137393
CID4535	Neutral	Breast cancer	0.629342316929843	-1.34403422764016	-0.393152250832219	-0.140714706822855	-1.1767757866245	-0.267194223178387	-0.360320571116125	1.51023529619874	-0.522454261573728	-1.0034603375536	-1.51621801985923	1.0476289978055	0.0286839130958121	-0.20441672441729	1.82959837764141	1.3299102422879	0.359652675633403	-0.484390903318477	-0.828465914179824	-0.127449935893377	-1.24638924201561	-0.59736675191906	-2.05197197061414	-1.29341898903156	-1.40151692109131	0.0869017218723877	-0.466235521309151	0.552314993492017	-1.35530058905998	-0.740544727287286	-0.757002091941282	-0.272070724214864	0.547506809644275	0.854824683884951	-2.40706108636912	-0.211978689953127	-2.26760835565869	-0.625916383490391	1.4506386893706	-2.09722639230672	-0.706773836306558	-2.16233080523649	0.719197847443943	-1.43130845741779	-0.88860712004854	-0.111247598252796	-0.473236977189638	-0.326048611131315	-0.046947056309938	-0.344855309022314
P1	Punctuated	Breast cancer	0.656884341663281	0.600690640988502	-0.0644181351593393	0.734296161797942	1.96148989868304	1.61078467622388	0.201023839172505	-0.559377094853727	-2.58826390232224	0.682971216282758	0.182089788971124	-0.466230791533842	-0.900569097416755	1.82970755568998	-0.873810859751841	-1.95393603392919	-1.90281340270114	-0.628934053348496	-1.53607093702266	1.16598336832223	-0.686389575907171	-0.127965789657942	0.86994315581986	0.42866902065789	-0.0119638463601292	0.7396608471662	0.702291922720437	0.0342704375279812	0.311765129166236	0.516527258971657	-1.96359316229892	-1.09279437150581	-1.65683503474066	1.30521367431607	0.40010182376258	1.27053112876909	-1.06870555501995	-0.812175657668414	-2.07441389840023	0.35948212306212	-0.322283610609946	0.856229597217863	-1.54423412947191	1.40121005531626	-0.926296416591139	-0.752113013989207	2.07679475497167	-1.66885898264823	1.5182313218992	-1.44390737941668
P10	Punctuated	Breast cancer	0.705726877961819	1.38441505136804	-0.0384228333192949	0.583122705196998	1.46190837274993	1.66785481342434	0.655118191677826	-1.05731852742107	-0.993913072262508	0.433771304149184	0.816737635366653	0.307493214275241	0.0830475200474448	1.24085855908357	-0.338708668095716	-0.776522852294426	-1.43110580032584	0.129543711304224	-0.852169602120206	0.291977177088225	-0.251288785929802	0.776135838676571	1.45464104242147	1.46710768643861	1.06775386014783	1.88904867860915	1.6848607640015	2.13786499154421	0.536587518575421	0.546981682500716	-0.156706964866482	-0.347534609446928	-0.807355149013212	1.13826284826437	0.435335296737468	1.67264530915614	0.786183375217248	-0.786881576117867	-1.19707764261774	1.7033430240011	-1.02963791511089	2.01368011417421	-0.280047579271051	0.327299323242102	0.338491746936266	0.809419072134163	0.78279400818226	0.710967626743719	0.498395505481885	-1.21825107011677
P12	Punctuated	Breast cancer	-0.758474631169098	0.750434528986082	0.293940021054009	-1.82232482949636	-0.861829803988149	0.516464644610276	-0.478031061777612	-1.6182211758376	-1.75920946417742	-2.2237275497965	-0.970367779467664	0.878843489901089	-0.0751119746695865	-0.727395136288228	0.453610724156249	-0.488627544604052	-1.91648124115322	0.0242905240411365	-2.6354287353076	-2.19804341164622	0.955910119172105	-1.22370582752141	0.427473632250092	-0.184619965215983	-0.967386759216724	0.851270451579937	0.652971057331585	0.63692465595268	-1.82165262036047	-0.284252563397532	-1.31113707158894	-0.414096435112855	-0.452752938773299	-0.21899892699441	-2.18977160412126	1.52638392279902	-0.662630636498354	-1.98827089743553	-1.27239654534049	2.51026539555929	-2.32560059081	1.8700597326736	-0.495623507015042	-1.10971641155215	-1.16126589241225	0.367624869675601	-0.211067408033842	-1.9995934802577	-0.344419078928075	-2.5456434693823
P13	Neutral	Breast cancer	0.391071415015412	-3.05859895419327	-0.260429306409071	-0.626765652025925	-0.280362888184005	-0.391446521365432	-2.03532193737582	0.0539263138189339	-1.67310078829798	-1.54632077845923	-3.24248617210374	0.133774154452523	-0.197464495176968	-0.222812922594391	2.2962442057002	1.54918806555444	-1.20942335799935	-0.0734645786949493	-1.62338211502524	-0.489060909692984	-0.983860303611313	-1.30463226682336	-2.72080401364446	-3.11597768630412	-2.8424731872057	-2.40187296161477	-3.03829774375887	-0.484090526423485	-3.04560940076753	-0.230127973020879	-2.21911040936041	-0.682647854331175	-0.67994341772224	0.457605306084058	-1.85097523639689	2.06921181521337	-1.77522727411839	-0.94647075114027	-0.386550605729577	-1.81353272947695	-0.54723844261323	-1.31580284696497	-1.35803576401157	-0.300232453435963	-2.82739196761456	-0.758709177567318	0.139296288331881	-2.36537066101361	-0.373396248298242	-2.26036888928044
P14	Punctuated	Breast cancer	0.7899296298104	0.636888101170845	1.13110138241045	0.34929977105444	0.766069929077061	1.20527351135977	0.413850272251053	-0.408761718313987	-1.0898370354598	-0.411144168661052	-0.292889967698872	0.355323816166485	-0.271367993890201	1.07233810705333	1.86913215058492	0.84825711441658	-1.71633072404751	-0.0517934691288933	-1.50133942734937	0.216316118252311	-0.651473161635014	-0.299485671242361	0.575867402985681	0.0909158752712157	-0.276012331333162	1.16389519062801	0.889888793212858	0.256503062497519	-0.709273534485104	0.349407895936543	-0.783211753422911	-0.388846188748974	-0.885400255408582	0.781347454197937	-0.556001986002669	1.55834003284434	-0.858502493894605	-1.67070525618689	-0.473417470025731	2.68412350483712	-0.405607427881409	1.29219361905709	-1.85795129038046	0.668254598953195	-0.861455139348352	-0.145340933901867	1.10789089255826	-0.973595734803086	0.580739638929228	-1.75744469818666
P15	Punctuated	Breast cancer	-0.133845726105338	1.70148116156511	-1.1165885937055	-0.43602357075052	0.608193617191393	0.851715074032698	0.706680494816772	-1.40646530109843	-2.17788797581583	-0.591340143894683	0.763604970962357	0.761457866558093	0.37720431191745	0.622659928495116	-0.833876106590366	-1.26569324456174	-1.66296102002978	0.364455817089936	-1.31375657402983	-0.354090770531945	-0.396398998970835	-0.0938983647668913	1.24704569628724	1.16000958475947	0.873592618643239	2.26776621403756	2.00625351368173	2.07159081656236	-0.287413281418434	0.549154656893302	-0.310967404078996	-0.214363203160049	-0.451534059855343	0.0297225994714775	-0.975488473516645	1.66746614081614	0.651731669440595	-1.08367370276215	-1.1588947948469	2.75372711970547	-0.198045412482716	1.93507525309516	-0.268190386528001	-0.841612045333262	0.0803444540708311	0.203154389052813	0.0360655307187703	-0.54333408502571	0.10345345553619	-1.74016509009848
P16	Branching	Breast cancer	0.262207556223364	-0.437428247340344	-0.388931121206204	-0.889969322977112	1.18666947346255	1.13277335202095	-0.987855474103778	-0.576760252630131	-0.774206592211411	-0.532194684903689	-1.08365706320316	0.781101957196539	0.779277044267408	0.468501246016104	-0.278364551662234	-0.356243628121375	-1.47155295197729	0.703536032956195	0.264311579789046	-0.00343353543067807	-0.449396268133431	1.14795620686781	-1.0031412847245	-0.658431650522449	-0.749457903140683	-0.999702154690881	-0.811289872306999	2.02110797050407	-1.29922042623393	0.443730007850263	0.246211939087125	-0.14736153299966	0.074510768667217	1.12069494198768	-1.04808293433459	1.88983444544081	-0.5510439632033	-1.25086208728068	-1.0191073519309	-0.633355714021936	1.36328893676928	1.71075738230605	-0.0402239385236026	-0.781214872499002	-0.74162715083751	0.594301013454082	0.93438423351137	-0.759841376841473	-1.65570014909905	-1.85104196654328
P17	Punctuated	Breast cancer	1.48200448148645	-0.640955029243663	0.231217991984948	0.842739121761228	1.82939906226365	1.57710309815438	-0.104579159995047	-0.160156332493963	-1.15245185217466	0.176892028391278	-0.937894133635744	-0.341774398732067	-1.4421459718973	1.33577804154424	1.37703748154545	0.745232618816766	-1.51810172750405	-1.0402638814107	-1.12399863137632	1.14867260264288	-0.517506585539507	-0.0967221487622968	0.131063078760779	-0.560579108280346	-0.884068663650471	1.60236948476472	0.533901940251737	1.07420012016135	-0.340574801498681	-0.421373139504768	-1.68123210116329	-0.710218441532358	-0.735178515243683	1.37735080632104	0.577807638108436	1.87724603396484	-0.189252674724498	-0.74556009497112	-1.52836614442668	-0.464006087930263	0.749032374522847	0.702717174222608	-2.2023971755642	1.67429250592801	-1.07586528592265	0.126654941753351	1.57828262943956	-1.44026799940218	1.85014968477141	-1.0569218891845
